date,open,high,low,close,volume,oi
2022-07-15,524.2,550.0,524.2,530.5,7,7
2022-07-19,558.9,568.6,558.9,568.6,2,6
2022-07-20,563.7,564.7,563.7,564.7,3,6
2022-07-21,564.7,564.7,564.7,564.7,3,6
2022-08-23,606.6,606.6,606.6,606.6,5,2
2022-08-24,610.0,610.0,610.0,610.0,1,2
2022-08-25,610.0,610.0,610.0,610.0,1,1
2022-08-30,610.0,610.0,610.0,610.0,350,351
2022-09-23,568.0,580.5,568.0,580.0,9,356
2022-09-26,579.7,579.7,555.0,556.0,36,328
2022-09-27,569.8,569.8,569.8,569.8,1,328
2022-09-29,574.0,574.0,574.0,574.0,2,327
2022-09-30,574.3,574.3,574.3,574.3,178,505
2022-10-19,605.5,605.5,588.8,588.8,2,506
2022-10-26,602.0,602.0,602.0,602.0,100,606
2022-10-27,602.0,610.4,602.0,610.4,201,807
2022-11-01,610.4,610.4,610.4,610.4,150,957
2022-11-14,612.0,612.0,612.0,612.0,1,957
2022-11-17,603.2,603.2,601.9,601.9,5,962
2022-11-21,588.0,588.0,588.0,588.0,1,962
2022-11-25,566.1,576.4,566.1,568.4,3,963
2022-11-28,559.1,559.1,552.1,557.3,3,965
2022-11-30,580.3,580.3,580.3,580.3,1,964
2022-12-01,580.3,587.5,580.3,587.5,422,574
2022-12-02,588.0,588.0,587.0,587.0,39,612
2022-12-05,582.0,582.0,580.0,580.0,2,611
2022-12-06,559.9,559.9,559.9,559.9,1,612
2022-12-07,542.9,542.9,542.9,542.9,7,618
2022-12-09,527.7,527.7,515.7,515.7,4,619
2022-12-12,519.9,521.0,519.0,521.0,4,617
2022-12-14,540.0,544.7,539.0,541.6,10,616
2022-12-15,541.6,551.0,541.6,550.0,9,619
2022-12-19,535.8,543.0,535.8,543.0,5,620
2022-12-20,550.0,550.3,549.0,549.0,3,621
2022-12-21,543.3,544.3,540.0,543.7,8,624
2022-12-22,554.0,556.2,550.3,553.4,75,555
2022-12-23,549.3,554.1,544.7,548.4,7,557
2022-12-26,558.5,570.0,558.5,565.1,10,556
2022-12-27,567.1,571.3,567.1,571.3,6,557
2022-12-28,570.0,571.0,562.9,562.9,7,559
2022-12-29,557.4,559.9,555.2,555.7,21,562
2022-12-30,555.0,564.5,555.0,560.9,8,558
2023-01-03,564.7,565.4,561.3,564.7,31,567
2023-01-04,563.3,563.3,544.3,544.3,15,568
2023-01-05,540.0,540.0,528.0,528.0,20,575
2023-01-06,532.9,533.0,529.5,533.0,8,578
2023-01-09,527.8,535.6,526.3,528.0,17,585
2023-01-10,536.4,536.4,525.0,525.0,13,590
2023-01-11,526.5,527.1,526.5,527.1,4,589
2023-01-12,531.4,540.1,531.3,540.1,20,587
2023-01-13,545.1,545.1,540.3,541.1,17,586
2023-01-16,544.4,546.7,544.4,545.5,10,587
2023-01-17,545.5,550.7,545.5,549.2,114,684
2023-01-18,556.1,563.7,552.4,561.9,35,694
2023-01-19,563.8,564.3,548.0,548.8,68,647
2023-01-20,556.9,562.8,555.9,562.8,20,651
2023-01-30,559.0,559.5,551.4,553.1,59,668
2023-01-31,553.7,555.9,542.7,543.0,85,688
2023-02-01,541.6,555.0,541.6,553.8,92,721
