,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2023-09-08,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-11,-0.0025171638004817254,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-12,0.01760109027896828,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-13,-0.003608483843377641,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-14,0.018357354548672156,,0.019057796684402106,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,
2023-09-15,0.006742964807014751,0.03657576199079582,0.021500634576180566,0.01053634680080802,0.6137887205559855,-0.07000000000000028,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-18,0.007791534616044871,0.046884460407322415,0.025107573593335708,0.009426001615837485,0.11933547939403377,-0.03000000000000025,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-19,-0.0030654720742946395,0.026217898054059496,0.019286838829161823,0.009469506229830229,0.10454171074100183,-0.10000000000000053,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-20,-0.010138945130950816,0.01968743676648632,0.008131461065075563,0.010441184909318068,0.07442904004711925,-0.09999999999999964,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-21,-0.007225866580064633,-0.005895784362250467,0.0008150350365099257,0.010446696046954732,-0.2584141307082177,-0.20000000000000018,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-22,0.004452862751114672,-0.008185886418150545,0.004788997988749877,0.00986554981718892,-0.27359961715855974,-0.11000000000000032,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-25,-0.003895169356480821,-0.019872590390676237,0.0008193429129139673,0.009576992761887797,-0.7595273025517768,-0.22999999999999954,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-26,0.007885863046415587,-0.00892125526996601,0.00803557473168759,0.009276285684395435,-1.0809271692616251,-0.1899999999999995,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-27,0.035751077479141635,0.03696876734012644,0.04065903419577044,0.012763842208874113,-1.6737927066386327,-0.2600000000000007,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-28,-0.02125329471860926,0.022941339201581812,0.018112023512016684,0.01416059382677947,-0.8073857615785052,-0.09999999999999964,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-09-29,-0.010082277187186683,0.008406199263280456,0.0075278871795285696,0.014079240860565126,-0.6394274363822783,-0.14999999999999947,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-02,-0.02193729751970963,-0.009635928899948354,-0.01356179796722845,0.014906060963400794,-0.7699343975275719,-0.14000000000000057,,,,,-0.5070511159216973,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-03,0.0046054560481039175,-0.012916335898260023,-0.008458767368063391,0.014460254388322004,-1.0701029278003205,-0.25,,,,,-0.5070511159216973,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-04,-0.0577848831782779,-0.10645229655567956,-0.06275714262284904,0.01974153566342794,-0.4919932189333176,-0.1200000000000001,,,,,-0.5070511159216973,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-05,-0.022939815749229098,-0.1081388175862994,-0.08141211045347418,0.01977045876016576,-1.1140563206027299,-0.1299999999999999,1.9493588689617922,-1.9493588689617922,,,-0.5070511159216973,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-06,0.005814674166161993,-0.09224186623295072,-0.07282514671746121,0.01934900445970358,-0.8573458580285687,-0.1900000000000004,1.7457431218879367,-1.745743121887939,-0.9007285980902956,,-0.5070511159216973,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-09,0.04244888638184019,-0.0278556823314009,-0.029852273274886265,0.021833204890350698,-0.8573458580285687,-0.1900000000000004,1.5954480704349292,-1.5954480704349314,-0.9007285980902956,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2023-10-10,-0.004757769346202423,-0.03721890772570724,-0.03296811257909393,0.02142489751075436,0.6920074193277337,0.14999999999999947,1.4786261879618905,-1.4786261879618896,0.17337967418094843,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
